Appendix II Group A:

NumArray:   1  2  3  4  5 13, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  1  3  6 10 13, Overlaps: 7, Number of Good Drums = 371 / 4886
NumArray:   1  2  2  4 12 13, Overlaps: 7, Number of Good Drums = 0 / 4931
NumArray:   1  2  2  5 11 13, Overlaps: 7, Number of Good Drums = 230 / 6073
NumArray:   1  2  2  6 11 12, Overlaps: 7, Number of Good Drums = 521 / 6502
NumArray:   1  2  2  6 10 13, Overlaps: 7, Number of Good Drums = 699 / 6502
NumArray:   1  2  3  6 11 11, Overlaps: 7, Number of Good Drums = 1700 / 10556
NumArray:   1  2  4  4 11 12, Overlaps: 7, Number of Good Drums = 1122 / 11526
NumArray:   1  2  4  4 10 13, Overlaps: 7, Number of Good Drums = 1600 / 11526
NumArray:   1  2  4  5 11 11, Overlaps: 7, Number of Good Drums = 1811 / 13361
NumArray:   1  2  4  7 10 10, Overlaps: 7, Number of Good Drums = 2439 / 14124
NumArray:   1  2  4  7  7 13, Overlaps: 7, Number of Good Drums = 4184 / 14124
NumArray:   1  2  4  8  8 11, Overlaps: 7, Number of Good Drums = 2231 / 14124
NumArray:   1  1  3  6 11 13, Overlaps: 8, Number of Good Drums = 371 / 6094
NumArray:   1  2  2  6 11 13, Overlaps: 8, Number of Good Drums = 548 / 8129
NumArray:   1  2  3  5 12 12, Overlaps: 8, Number of Good Drums = 572 / 12780
NumArray:   1  2  4  4 11 13, Overlaps: 8, Number of Good Drums = 1280 / 14786
NumArray:   1  2  4  6 11 11, Overlaps: 8, Number of Good Drums = 3218 / 20794
NumArray:   1  1  3  6 12 13, Overlaps: 9, Number of Good Drums = 263 / 6383
NumArray:   1  2  2  6 12 13, Overlaps: 9, Number of Good Drums = 349 / 8481
NumArray:   1  2  3  6 12 12, Overlaps: 9, Number of Good Drums = 1883 / 16762
NumArray:   1  2  4  4 12 13, Overlaps: 9, Number of Good Drums = 686 / 15952
NumArray:   1  2  4  5 12 12, Overlaps: 9, Number of Good Drums = 1921 / 22121
NumArray:   1  2  4  7 11 11, Overlaps: 9, Number of Good Drums = 4466 / 28460
NumArray:   1  2  4  8  8 13, Overlaps: 9, Number of Good Drums = 6009 / 29015
NumArray:   1  2  2  6 13 13, Overlaps: 10, Number of Good Drums = 0 / 7511
NumArray:   1  2  3  5 13 13, Overlaps: 10, Number of Good Drums = 0 / 12318
NumArray:   1  2  4  8 11 11, Overlaps: 10, Number of Good Drums = 4989 / 34494
NumArray:   1  2  3  6 13 13, Overlaps: 11, Number of Good Drums = 642 / 13819
NumArray:   1  2  4  7 12 12, Overlaps: 11, Number of Good Drums = 4806 / 32425
NumArray:   1  2  3  7 13 13, Overlaps: 12, Number of Good Drums = 1347 / 13470
Program ended with exit code: 0
